mlog_loss,mstd,accuracy,params
0.9364154000000001,0.15323065303501562,0.3783212,"{'colsample_bytree': 0.45359711161901195, 'eta': 0.002254179810699449, 'gamma': 0.42904831522688236, 'max_depth': 15, 'min_child_weight': 1.1257155598179713, 'n_estimators': 3133.40333984327, 'reg_lambda': 0.7029775871093831, 'subsample': 0.9839459993426727}"
0.9362174,0.16026784459899343,0.3803338,"{'colsample_bytree': 0.5244765758591922, 'eta': 0.01849160838964996, 'gamma': 0.4556180830115905, 'max_depth': 13, 'min_child_weight': 1.1682388933530703, 'n_estimators': 2048.9237502452497, 'reg_lambda': 0.7588911028614168, 'subsample': 0.9140736858684098}"
0.9361832,0.16687214354356927,0.3774658000000001,"{'colsample_bytree': 0.4480012756867686, 'eta': 0.0016140189635405035, 'gamma': 0.07049800610545334, 'max_depth': 15, 'min_child_weight': 1.1308460810274241, 'n_estimators': 2771.3841547729544, 'reg_lambda': 0.710058749931503, 'subsample': 0.9666564581404716}"
0.9361789999999999,0.15981617205475748,0.37888700000000003,"{'colsample_bytree': 0.506792366617539, 'eta': 0.023216188111906115, 'gamma': 0.2705618373940305, 'max_depth': 12, 'min_child_weight': 1.1339144025451904, 'n_estimators': 3159.7518537398632, 'reg_lambda': 0.702338797077772, 'subsample': 0.9772967582501135}"
0.9361680000000001,0.15792691448156024,0.3731622,"{'colsample_bytree': 0.547725208783953, 'eta': 0.021227186644849617, 'gamma': 0.3669509992502689, 'max_depth': 12, 'min_child_weight': 1.095976600450083, 'n_estimators': 2252.332796407627, 'reg_lambda': 0.7290236584573365, 'subsample': 0.9123145329750252}"
0.9361309999999999,0.16275805131980267,0.3786222,"{'colsample_bytree': 0.44236002920779705, 'eta': 0.00990812403585704, 'gamma': 0.09444315552339419, 'max_depth': 15, 'min_child_weight': 1.1385726044877356, 'n_estimators': 2818.370716547134, 'reg_lambda': 0.7231901662237091, 'subsample': 0.9780279166754778}"
0.9361304,0.16102483915993,0.3766062,"{'colsample_bytree': 0.4361860417135457, 'eta': 0.004343076846726079, 'gamma': 0.15847148396353714, 'max_depth': 13, 'min_child_weight': 1.1593099586708304, 'n_estimators': 3051.832012173948, 'reg_lambda': 0.7066041202810718, 'subsample': 0.9485320972953384}"
0.936093,0.1594243357604477,0.3791838,"{'colsample_bytree': 0.4056771506759656, 'eta': 0.00572905260452724, 'gamma': 0.3383030199181436, 'max_depth': 15, 'min_child_weight': 1.1294254438499507, 'n_estimators': 2656.89833387776, 'reg_lambda': 0.7276409077928272, 'subsample': 0.9930871070732082}"
0.936064,0.16266542326345487,0.38033720000000004,"{'colsample_bytree': 0.42767044433446, 'eta': 0.0031682213714120944, 'gamma': 0.1274168542745358, 'max_depth': 13, 'min_child_weight': 1.1535805556578986, 'n_estimators': 3107.757647839042, 'reg_lambda': 0.7102930261577007, 'subsample': 0.964473528773692}"
0.9360446,0.1638440848748733,0.3751752,"{'colsample_bytree': 0.5612950163642696, 'eta': 0.02117145859983716, 'gamma': 0.27704249499410233, 'max_depth': 16, 'min_child_weight': 1.1145390639573356, 'n_estimators': 3180.5713536285716, 'reg_lambda': 0.6967015571501277, 'subsample': 0.904958238679672}"
0.9360244,0.16160190950560957,0.3808952,"{'colsample_bytree': 0.46149909872956363, 'eta': 0.02829480683369464, 'gamma': 0.34411906316190316, 'max_depth': 14, 'min_child_weight': 1.1014945502742988, 'n_estimators': 1217.900163101925, 'reg_lambda': 0.6797800359090352, 'subsample': 0.9024312446655864}"
