accuracy,std,params
0.5580413881087146,0.013153968933720471,"{'colsample_bytree': 0.6390415152618101, 'eta': 0.23221870334260147, 'gamma': 0.133562241072041, 'max_depth': 6, 'min_child_weight': 1.2519658458763718, 'n_estimators': 528.2744136777129, 'reg_lambda': 0.8721003654873859, 'subsample': 0.8208546421394735}"
0.5583189321757125,0.00928828483680972,"{'colsample_bytree': 0.6031084776859518, 'eta': 0.16646783087364347, 'gamma': 0.0005401641341934715, 'max_depth': 7, 'min_child_weight': 1.4798377130877338, 'n_estimators': 140.61415238391805, 'reg_lambda': 0.6960042643625497, 'subsample': 0.6739764673520025}"
0.5583279574982434,0.0062559165268971624,"{'colsample_bytree': 0.5022721616732733, 'eta': 0.2535433310929304, 'gamma': 0.018159066853909694, 'max_depth': 11, 'min_child_weight': 1.3168865161186813, 'n_estimators': 767.1097208493143, 'reg_lambda': 0.6672999425798144, 'subsample': 0.8620719601309884}"
0.5583345091652061,0.005630235426075679,"{'colsample_bytree': 0.5922782753850353, 'eta': 0.34267977247164516, 'gamma': 0.05180290101206321, 'max_depth': 10, 'min_child_weight': 1.9998760417243653, 'n_estimators': 640.5720183684414, 'reg_lambda': 0.8008609385595116, 'subsample': 0.8774033183026988}"
0.558341079672318,0.010274808368756643,"{'colsample_bytree': 0.5630867371144334, 'eta': 0.3593713081655134, 'gamma': 0.04598318865085173, 'max_depth': 10, 'min_child_weight': 1.3578176329705678, 'n_estimators': 1583.772447773415, 'reg_lambda': 0.8710959340744168, 'subsample': 0.8307302641471763}"
0.5586432013654119,0.016536190157225007,"{'colsample_bytree': 0.7284038186234842, 'eta': 0.33847033223139406, 'gamma': 0.596778858471462, 'max_depth': 11, 'min_child_weight': 1.5743661785269474, 'n_estimators': 919.5632029057925, 'reg_lambda': 0.9216477034148165, 'subsample': 0.7725697106381776}"
0.5588879024283049,0.011660036730701269,"{'colsample_bytree': 0.7090428449703929, 'eta': 0.2986183091767416, 'gamma': 0.48079599281786, 'max_depth': 4, 'min_child_weight': 1.5721715530453644, 'n_estimators': 421.28838676985043, 'reg_lambda': 0.9006754908458, 'subsample': 0.9983127879209491}"
0.5588932114217045,0.015013555306153658,"{'colsample_bytree': 0.5443923434122391, 'eta': 0.05181790401065979, 'gamma': 0.16934534011595032, 'max_depth': 9, 'min_child_weight': 1.3801335837112843, 'n_estimators': 1265.0559747156226, 'reg_lambda': 0.7828481636192974, 'subsample': 0.9301255131298712}"
0.559166585699927,0.011886493295521047,"{'colsample_bytree': 0.8433282363241041, 'eta': 0.15941523263547758, 'gamma': 0.3001357084591869, 'max_depth': 7, 'min_child_weight': 1.8922526576153538, 'n_estimators': 803.0204244585638, 'reg_lambda': 0.9718027128466366, 'subsample': 0.7236237127416446}"
0.5591752528233611,0.02064185264439371,"{'colsample_bytree': 0.5789633571809644, 'eta': 0.42618355087013127, 'gamma': 0.1132093554115855, 'max_depth': 7, 'min_child_weight': 1.3446472499136413, 'n_estimators': 1163.4443026977158, 'reg_lambda': 0.8470862688258075, 'subsample': 0.9206458924290652}"
